rule_id,rule_name,category,condition,risk_level,weight,legal_basis,question_to_ask,created_at,updated_at,version,effective_date,expiry_date,is_active,source,source_url,imported_at,review_status
RR001,费用不透明-存在额外费用,cost_transparency,"{""field"": ""data.costAnalysis.additionalFees"", ""operator"": "">"", ""value"": 0}",high,24,中国人民银行公告〔2021〕第3号；《民法典》第496条,请机构列明所有费用项目，并说明是否计入明示年化利率。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR002,服务费一次性扣除,cost_transparency,"{""clauses_contains_any"": [""服务费"", ""一次性扣除"", ""放款金额中扣除""]}",high,22,《民法典》第670条；《关于进一步规范信贷融资收费降低企业融资综合成本的通知》,请机构说明服务费扣除依据、金额和是否属于变相预扣利息。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR003,管理费未纳入成本,cost_transparency,"{""clauses_contains_any"": [""管理费"", ""账户管理"", ""贷后管理费""]}",medium,14,中国人民银行公告〔2021〕第3号,请机构说明管理费是否纳入综合融资成本和真实年化利率。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR004,咨询费或顾问费异常,cost_transparency,"{""clauses_contains_any"": [""咨询费"", ""顾问费"", ""信息服务费""]}",medium,14,《消费者权益保护法》第8条,请机构说明咨询服务的具体内容、定价依据和取消方式。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR005,担保费或保证金另收,cost_transparency,"{""clauses_contains_any"": [""担保费"", ""保证金"", ""履约保证""]}",medium,16,《民法典》合同编；金融消费者权益保护规则,请机构说明担保费是否必要、是否可退、是否影响贷款审批。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR006,保险费疑似强制,cost_transparency,"{""clauses_contains_any"": [""保险费"", ""保障服务费"", ""必须购买保险""]}",medium,15,《银行保险机构消费者权益保护管理办法》,请机构说明保险是否自愿购买，取消后是否影响贷款。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR007,砍头息-到账低于本金,cost_transparency,"{""left"": ""data.contractSummary.actualReceivedAmount"", ""operator"": ""<"", ""right"": ""data.contractSummary.loanAmount""}",high,25,《民法典》第670条,请机构说明实际到账金额低于合同本金的原因和扣费依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR008,费用名称模糊,cost_transparency,"{""clauses_contains_any"": [""其他费用"", ""相关费用"", ""综合费用"", ""平台费用""]}",medium,12,《民法典》第496条；《消费者权益保护法》第8条,请机构逐项解释费用名称、金额、收取时间和退费条件。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR009,名义免息但有手续费,interest_fee,"{""clauses_contains_all"": [""免息""], ""clauses_contains_any"": [""手续费"", ""服务费"", ""分期费""]}",high,23,中国人民银行公告〔2021〕第3号,请机构把手续费折算为真实年化成本并书面说明。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR010,真实年化超过24%,interest_fee,"{""field"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""value"": 24}",high,25,最高人民法院民间借贷利率司法政策；金融消费者权益保护规则,请机构说明真实年化利率计算口径和是否包含全部费用。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR011,真实年化超过36%,interest_fee,"{""field"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""value"": 36}",high,35,最高人民法院关于民间借贷案件适用法律若干问题的规定,请机构说明是否存在超过司法保护上限的利息或费用。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR012,真实年化高于名义利率10个百分点,interest_fee,"{""left"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""right"": ""data.contractSummary.nominalRate"", ""delta"": 10}",high,22,中国人民银行公告〔2021〕第3号,请机构解释名义利率和真实年化差异的来源。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR013,IRR口径未披露,interest_fee,"{""clauses_contains_any"": [""IRR"", ""内部收益率"", ""折算年化""], ""clauses_not_contains_any"": [""计算公式"", ""现金流""]}",medium,12,中国人民银行公告〔2021〕第3号,请机构提供IRR现金流、计算公式和费用纳入口径。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR014,日利率月利率混用,interest_fee,"{""clauses_contains_any"": [""日利率"", ""月利率"", ""按日计息""]}",medium,10,《消费者权益保护法》第8条,请机构把日利率、月利率统一折算成年化利率。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR015,LPR倍数偏高,interest_fee,"{""field"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""value"": 15}",medium,12,贷款市场报价利率管理规则；中国人民银行公告〔2021〕第3号,请机构说明该产品利率相对同期LPR的倍数和定价依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR016,复利或利滚利表述,interest_fee,"{""clauses_contains_any"": [""复利"", ""利滚利"", ""按月复计""]}",high,22,《民法典》公平原则；金融消费者权益保护规则,请机构说明是否对利息、罚息再计息。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR017,提前还款收手续费,prepayment,"{""field"": ""data.contractSummary.prepaymentRule"", ""operator"": ""contains_any"", ""value"": [""手续费"", ""提前结清费""]}",medium,15,《民法典》第677条,请机构说明提前结清费用计算方式和已收费用退还规则。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR018,提前还款收违约金,prepayment,"{""field"": ""data.contractSummary.prepaymentRule"", ""operator"": ""contains_any"", ""value"": [""违约金"", ""补偿金""]}",medium,15,《民法典》第677条,请机构说明提前还款违约金上限和减免费条件。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR019,提前还款需审批,prepayment,"{""field"": ""data.contractSummary.prepaymentRule"", ""operator"": ""contains_any"", ""value"": [""需审批"", ""经同意"", ""申请通过""]}",medium,10,《民法典》第677条,请机构说明审批标准、处理时限和拒绝提前还款的依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR020,提前还款仍收全期利息,prepayment,"{""clauses_contains_any"": [""仍按全部期限计收"", ""已收利息不退"", ""剩余利息照收""]}",high,22,《民法典》第677条,请机构说明提前还款后利息是否按实际借款期间计算。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR021,逾期罚息1.5倍,overdue,"{""field"": ""data.contractSummary.overdueFee"", ""operator"": ""contains_any"", ""value"": [""1.5倍"", ""150%""]}",medium,12,金融借款合同监管规则；金融消费者权益保护规则,请机构说明逾期罚息上限、计收基数和是否重复计收。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR022,高额违约金,overdue,"{""field"": ""data.contractSummary.overdueFee"", ""operator"": ""contains_any"", ""value"": [""高额违约金"", ""违约金""]}",medium,12,《民法典》第585条,请机构说明违约金计算方式和是否可按实际损失调整。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR023,还款方式模糊,repayment,"{""field"": ""data.contractSummary.repaymentMethod"", ""operator"": ""contains_any"", ""value"": [""不详"", ""约定方式"", ""另行通知"", """"]}",medium,10,《民法典》第496条,请机构明确还款方式、期数、每期金额和还款日。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR024,最低还款误导,repayment,"{""clauses_contains_any"": [""最低还款"", ""只需还最低"", ""循环利息""]}",medium,12,《消费者权益保护法》第8条,请机构说明最低还款后的利息、复利和还款周期。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR025,格式条款未提示,dispute_resolution,"{""clauses_contains_any"": [""本合同为格式合同"", ""格式条款""], ""clauses_not_contains_any"": [""特别提示"", ""加粗"", ""显著提示""]}",medium,14,《民法典》第496条,请机构说明是否已对重要格式条款进行显著提示和说明。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR026,单方变更条款,dispute_resolution,"{""clauses_contains_any"": [""有权单方调整"", ""无需另行通知"", ""平台可变更""]}",high,20,《民法典》第497条；《消费者权益保护法》第26条,请机构说明哪些内容可单方变更，以及消费者是否有拒绝或解除权。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR027,免责条款过宽,dispute_resolution,"{""clauses_contains_any"": [""不承担任何责任"", ""概不负责"", ""免责""]}",high,20,《民法典》第497条,请机构说明免责条款是否排除或限制消费者主要权利。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR028,管辖法院不便利,dispute_resolution,"{""clauses_contains_any"": [""由贷款人所在地法院管辖"", ""平台所在地法院"", ""仲裁委员会""]}",low,8,《民事诉讼法》协议管辖规则,请机构说明争议解决地点和维权成本。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR029,自动扣款授权过宽,authorization_privacy,"{""clauses_contains_any"": [""自动扣款"", ""代扣"", ""委托扣款""]}",medium,15,《消费者权益保护法实施条例》第10条,请机构说明扣款授权范围、期限、取消方式和失败处理。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR030,自动续费提示不足,authorization_privacy,"{""clauses_contains_any"": [""自动续费"", ""自动展期""], ""clauses_not_contains_any"": [""提前提醒"", ""取消方式""]}",medium,15,《消费者权益保护法实施条例》第10条,请机构说明续费前提醒方式和取消入口。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR031,征信授权范围过宽,authorization_privacy,"{""clauses_contains_any"": [""征信授权"", ""报送征信"", ""查询征信""]}",high,20,《征信业管理条例》；《个人信息保护法》,请机构说明征信查询和报送的目的、范围、期限及撤回方式。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR032,信息共享范围过宽,authorization_privacy,"{""clauses_contains_any"": [""关联公司共享"", ""合作伙伴共享"", ""第三方共享""]}",high,20,《个人信息保护法》第13条、第23条,请机构列明共享对象、目的、字段和用户拒绝方式。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR033,担保连带责任,other,"{""clauses_contains_any"": [""连带责任"", ""连带保证""]}",high,22,《民法典》担保制度相关规定,请机构说明担保责任范围、期限、触发条件和是否为连带责任。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR034,担保范围含全部费用,other,"{""clauses_contains_all"": [""担保""], ""clauses_contains_any"": [""全部债务"", ""律师费"", ""实现债权费用""]}",medium,15,《民法典》担保制度相关规定,请机构列明担保覆盖的本金、利息、罚息和实现债权费用。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR035,保证期间不清,other,"{""clauses_contains_all"": [""保证""], ""clauses_not_contains_any"": [""保证期间"", ""担保期限""]}",medium,12,《民法典》保证合同规则,请机构明确保证期间和责任终止条件。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR036,抵押物处置授权过宽,other,"{""clauses_contains_any"": [""抵押物"", ""质押物"", ""处置抵押""]}",medium,14,《民法典》物权编,请机构说明抵押物处置条件、评估方式和剩余价款返还。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR037,贷款搭售保险,other,"{""clauses_contains_any"": [""贷款需购买保险"", ""保险为放款条件"", ""保障服务""]}",medium,16,《银行保险机构消费者权益保护管理办法》,请机构说明保险是否为自愿选择及取消后是否影响贷款。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR038,贷款搭售会员服务,other,"{""clauses_contains_any"": [""会员费"", ""权益包"", ""增值服务""]}",medium,14,《消费者权益保护法》第9条,请机构说明会员服务是否可单独取消并退费。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR039,贷款搭售评估服务,other,"{""clauses_contains_any"": [""评估费"", ""审核费"", ""资料服务费""]}",medium,12,《关于进一步规范信贷融资收费降低企业融资综合成本的通知》,请机构说明评估服务内容、必要性和收费依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR040,强制购买第三方服务,other,"{""clauses_contains_any"": [""强制购买"", ""必须开通"", ""捆绑"", ""搭售""]}",high,20,《消费者权益保护法》第9条,请机构说明消费者是否可拒绝第三方服务。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR041,个人信息收集过度,authorization_privacy,"{""clauses_contains_any"": [""通讯录"", ""定位"", ""相册"", ""设备信息""]}",high,20,《个人信息保护法》第6条,请机构说明收集这些信息的必要性和最小范围。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR042,敏感个人信息处理,authorization_privacy,"{""clauses_contains_any"": [""身份证照片"", ""人脸识别"", ""生物识别"", ""银行卡信息""]}",high,22,《个人信息保护法》第28条、第29条,请机构说明敏感个人信息处理的单独同意和保护措施。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR043,个人信息保存期限不明,authorization_privacy,"{""clauses_contains_any"": [""长期保存"", ""永久保存"", ""保存期限""]}",medium,10,《个人信息保护法》第19条,请机构说明个人信息保存期限和删除路径。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR044,营销授权默认同意,authorization_privacy,"{""clauses_contains_any"": [""营销短信"", ""商业推广"", ""默认同意""]}",low,8,《个人信息保护法》；《消费者权益保护法》,请机构说明营销授权是否可单独拒绝和撤回。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR045,催收联系人披露,overdue,"{""clauses_contains_any"": [""联系紧急联系人"", ""通知亲友"", ""联系单位""]}",high,20,金融消费者权益保护和催收行为规范,请机构说明逾期催收是否会向无关第三人披露债务信息。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR046,暴力催收或威胁性措辞,overdue,"{""clauses_contains_any"": [""上门施压"", ""公开曝光"", ""威胁"", ""骚扰""]}",high,24,《个人信息保护法》；金融催收自律规范,请机构承诺不得骚扰、威胁或向无关人员披露信息。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR047,催收费用另收,overdue,"{""clauses_contains_any"": [""催收费"", ""外访费"", ""催告费""]}",medium,12,《民法典》第585条；金融消费者权益保护规则,请机构说明催收费用的合法依据和计算上限。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR048,退费条件苛刻,repayment,"{""clauses_contains_any"": [""不予退费"", ""概不退款"", ""退费需扣除""]}",medium,15,《消费者权益保护法》；《民法典》合同解除规则,请机构说明退费条件、扣费项目和处理时限。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR049,解约成本过高,repayment,"{""clauses_contains_any"": [""解约金"", ""退出费"", ""解除合同费用""]}",medium,14,《民法典》第563条、第585条,请机构说明解约成本是否与实际损失相匹配。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR050,服务合同解除但贷款继续,repayment,"{""clauses_contains_any"": [""服务解除"", ""贷款仍需偿还"", ""合作商户""]}",high,22,《消费者权益保护法》；金融消费者权益保护规则,请机构说明服务失败或退费时贷款合同如何同步处理。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR051,冷静期缺失,repayment,"{""clauses_contains_any"": [""培训贷"", ""医美分期"", ""服务分期""], ""clauses_not_contains_any"": [""冷静期"", ""无理由解除""]}",low,8,消费者权益保护规则,请机构说明是否提供冷静期或签约后的撤销路径。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR052,还款日变更通知不足,repayment,"{""clauses_contains_any"": [""调整还款日"", ""变更扣款日""], ""clauses_not_contains_any"": [""提前通知""]}",low,8,《消费者权益保护法》第8条,请机构说明还款日调整是否提前通知并允许用户确认。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
